row_key,site,product_slug,name,price,brand,category,url,scraped_at,scraped_date,scraped_hour,day_of_week
iris#iris_iris_laptop_tablette_graphique_one_by_waco_068242_2026-05-04_02-54-16_#2026-05-04T02-54-16Z,iris,iris_iris_laptop_tablette_graphique_one_by_waco_068242_2026-05-04_02-54-16_,Tablette Graphique One by Wacom Petite - USB (CTL-472-S),480,WACOM,laptop,https://www.iris.ma/10313-tablette-graphique-one-by-wacom-s.html,2026-05-04 02:54:16.000000 UTC,2026-05-04,2,2
iris#iris_iris_moniteur_tablette_graphique_one_by_waco_068242_2026-05-04_02-57-35_#2026-05-04T02-57-35Z,iris,iris_iris_moniteur_tablette_graphique_one_by_waco_068242_2026-05-04_02-57-35_,Tablette Graphique One by Wacom Petite - USB (CTL-472-S),480,WACOM,moniteur,https://www.iris.ma/10313-tablette-graphique-one-by-wacom-s.html,2026-05-04 02:57:35.000000 UTC,2026-05-04,2,2
iris#iris_iris_laptop_tablette_graphique_one_by_waco_068242_2026-05-04_02-54-12_#2026-05-04T02-54-12Z,iris,iris_iris_laptop_tablette_graphique_one_by_waco_068242_2026-05-04_02-54-12_,Tablette Graphique One by Wacom Petite - USB (CTL-472-S),480,WACOM,laptop,https://www.iris.ma/10313-tablette-graphique-one-by-wacom-s.html,2026-05-04 02:54:12.000000 UTC,2026-05-04,2,2
iris#iris_iris_moniteur_tablette_graphique_one_by_waco_068242_2026-05-04_02-53-05_#2026-05-04T02-53-05Z,iris,iris_iris_moniteur_tablette_graphique_one_by_waco_068242_2026-05-04_02-53-05_,Tablette Graphique One by Wacom Petite - USB (CTL-472-S),480,WACOM,moniteur,https://www.iris.ma/10313-tablette-graphique-one-by-wacom-s.html,2026-05-04 02:53:05.000000 UTC,2026-05-04,2,2
iris#iris_iris_moniteur_tablette_graphique_one_by_waco_068242_2026-05-04_02-53-12_#2026-05-04T02-53-12Z,iris,iris_iris_moniteur_tablette_graphique_one_by_waco_068242_2026-05-04_02-53-12_,Tablette Graphique One by Wacom Petite - USB (CTL-472-S),480,WACOM,moniteur,https://www.iris.ma/10313-tablette-graphique-one-by-wacom-s.html,2026-05-04 02:53:12.000000 UTC,2026-05-04,2,2
iris#iris_iris_moniteur_tablette_graphique_one_by_waco_068242_2026-05-04_02-53-35_#2026-05-04T02-53-35Z,iris,iris_iris_moniteur_tablette_graphique_one_by_waco_068242_2026-05-04_02-53-35_,Tablette Graphique One by Wacom Petite - USB (CTL-472-S),480,WACOM,moniteur,https://www.iris.ma/10313-tablette-graphique-one-by-wacom-s.html,2026-05-04 02:53:35.000000 UTC,2026-05-04,2,2
iris#iris_iris_laptop_tablette_graphique_one_by_waco_068242_2026-05-04_02-54-39_#2026-05-04T02-54-39Z,iris,iris_iris_laptop_tablette_graphique_one_by_waco_068242_2026-05-04_02-54-39_,Tablette Graphique One by Wacom Petite - USB (CTL-472-S),480,WACOM,laptop,https://www.iris.ma/10313-tablette-graphique-one-by-wacom-s.html,2026-05-04 02:54:39.000000 UTC,2026-05-04,2,2
iris#iris_iris_laptop_tablette_graphique_one_by_waco_068242_2026-05-04_02-54-21_#2026-05-04T02-54-21Z,iris,iris_iris_laptop_tablette_graphique_one_by_waco_068242_2026-05-04_02-54-21_,Tablette Graphique One by Wacom Petite - USB (CTL-472-S),480,WACOM,laptop,https://www.iris.ma/10313-tablette-graphique-one-by-wacom-s.html,2026-05-04 02:54:21.000000 UTC,2026-05-04,2,2
iris#iris_iris_laptop_tablette_graphique_one_by_waco_068242_2026-05-04_02-53-46_#2026-05-04T02-53-46Z,iris,iris_iris_laptop_tablette_graphique_one_by_waco_068242_2026-05-04_02-53-46_,Tablette Graphique One by Wacom Petite - USB (CTL-472-S),480,WACOM,laptop,https://www.iris.ma/10313-tablette-graphique-one-by-wacom-s.html,2026-05-04 02:53:46.000000 UTC,2026-05-04,2,2
ultrapc#ultrapc_ultrapc_moniteur_tooq_db1200tn_b_c7d552_2026-05-04_02-31-01_#2026-05-04T02-31-01Z,ultrapc,ultrapc_ultrapc_moniteur_tooq_db1200tn_b_c7d552_2026-05-04_02-31-01_,TooQ DB1200TN-B,599,INCONNUE,moniteur,https://www.ultrapc.ma/bras-pied/7970-tooq-db1200tn-b.html,2026-05-04 02:31:01.000000 UTC,2026-05-04,2,2
